SCHOOL NO.,ENGLISH CATEGORY,ENGLISH NAME,ENGLISH ADDRESS,LONGITUDE,LATITUDE,EASTING,NORTHING,STUDENTS GENDER,SESSION,DISTRICT,FINANCE TYPE,SCHOOL LEVEL,TELEPHONE,FAX NUMBER,WEBSITE,RELIGION
524824000123,Aided Primary Schools,YAN OI TONG TIN KA PING PRIMARY SCHOOL,3 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES,114.26112618,22.30995898,844949.0,819001.0,CO-ED,WHOLE DAY,SAI KUNG,AIDED,PRIMARY,24571302,22463506,http://www.yottkpps.edu.hk,NOT APPLICABLE
535680000123,Aided Primary Schools,S.K.H. KA FUK WING CHUN PRIMARY SCHOOL,PRIMARY SCHOOL KA FUK ESTATE FANLING NEW TERRITORIES,114.1349507,22.49338496,831954.0,839311.0,CO-ED,WHOLE DAY,NORTH,AIDED,PRIMARY,29476888,29473838,http://www.skhkfwc.edu.hk,PROTESTANTISM / CHRISTIANITY
540200000123,Aided Primary Schools,PO LEUNG KUK HORIZON EAST PRIMARY SCHOOL,3 HING FU STREET TUEN MUN NT,113.96652489,22.4112842,814610.0,830234.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,27020707,27027772,http://www.plkheps.edu.hk,NOT APPLICABLE
529249000123,Aided Primary Schools,PO LEUNG KUK WONG WING SHU PRIMARY SCHOOL,2 TONG YIN STREET TSEUNG KWAN O NEW TERRITORIES,114.25709815,22.30938307,844534.0,818937.0,CO-ED,WHOLE DAY,SAI KUNG,AIDED,PRIMARY,21770050,21770406,http://www.plkwws.edu.hk,NOT APPLICABLE
522180000223,Aided Primary Schools,SHAK CHUNG SHAN MEMORIAL CATHOLIC PRIMARY SCHOOL,39 WING SHUN STREET RIVIERA GARDENS TSUEN WAN NEW TERRITORIES,114.11321213,22.36391704,829711.0,824975.0,CO-ED,WHOLE DAY,TSUEN WAN,AIDED,PRIMARY,24086373,24077180,http://www.scs.edu.hk,CATHOLICISM
539520000123,Aided Primary Schools,TAI KOK TSUI CATHOLIC PRIMARY SCHOOL (HOI FAN ROAD),20 HOI FAN ROAD TAI KOK TSUI KOWLOON,114.15583139,22.32222502,834100.0,820357.0,CO-ED,WHOLE DAY,YAU TSIM MONG,AIDED,PRIMARY,21914270,21914252,http://www.tktcpshfr.edu.hk,CATHOLICISM
538809000123,Aided Primary Schools,HONG KONG AND MACAU LUTHERAN CHURCH MING TAO PRIMARY SCHOOL,"7 CHOI MING STREET, CHOI MING COURT, TSEUNG KWAN O, NEW TERRITORIES",114.25357419,22.30764187,844171.0,818744.0,CO-ED,WHOLE DAY,SAI KUNG,AIDED,PRIMARY,31294294,31294194,http://www.hkmlc-mtps.edu.hk,PROTESTANTISM / CHRISTIANITY
114316000123,Aided Primary Schools,THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG KWAI SHING LUTHERAN PRIMARY SCHOOL,"ESTATE SCHOOL NO. 6, KWAI SHING ESTATE, KWAI CHUNG, NEW TERRITORIES",114.12641685,22.36275675,831071.0,824846.0,CO-ED,WHOLE DAY,KWAI TSING,AIDED,PRIMARY,24225180,24199470,http://www.kslps.edu.hk,PROTESTANTISM / CHRISTIANITY
115380000123,Aided Primary Schools,HONG KONG RED SWASTIKA SOCIETY TUEN MUN PRIMARY SCHOOL,LEUNG KING ESTATE TUEN MUN NEW TERRITORIES,113.96143711,22.40403508,814085.0,829432.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24611968,24632537,http://www.hkrsstmps.edu.hk,NOT APPLICABLE
522007000123,Aided Primary Schools,"ALLIANCE PRIMARY SCHOOL, WHAMPOA",21 TAK FUNG STREET WHAMPOA GARDEN HUNG HOM KOWLOON,114.19093668,22.30319829,837717.0,818250.0,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,23367742,21428096,http://www.apsw.edu.hk,PROTESTANTISM / CHRISTIANITY
550248000123,Aided Primary Schools,KOWLOON BAY ST. JOHN THE BAPTIST CATHOLIC PRIMARY SCHOOL,23 KAI YIP ROAD KWUN TONG KOWLOON,114.2117306,22.32787577,839859.0,820983.0,CO-ED,WHOLE DAY,KWUN TONG,AIDED,PRIMARY,23432311,23433011,http://www.kbsjb.edu.hk,CATHOLICISM
529770000123,Aided Primary Schools,LIONS CLUBS INTERNATIONAL HO TAK SUM PRIMARY SCHOOL,AREA 3 (PS2) PHASE 4 TIN SHUI WAI YUEN LONG NEW TERRITORIES,114.00116249,22.44705902,818181.0,834191.0,CO-ED,WHOLE DAY,YUEN LONG,AIDED,PRIMARY,26179682,26179121,http://www.htsps.edu.hk,NOT APPLICABLE
510750000123,Aided Primary Schools,CHINESE METHODIST SCHOOL (NORTH POINT),15 PAK FUK ROAD NORTH POINT HONG KONG,114.20746127,22.29049896,839420.0,816844.0,CO-ED,WHOLE DAY,EASTERN,AIDED,PRIMARY,25619693,25627860,http://www.cmsnp.edu.hk,PROTESTANTISM / CHRISTIANITY
115711000223,Aided Primary Schools,HO MING PRIMARY SCHOOL (SPONSORED BY SIK SIK YUEN),2 TIN PAK ROAD TIN SHUI WAI YUEN LONG NEW TERRITORIES,114.0063124,22.45413536,818712.0,834974.0,CO-ED,WHOLE DAY,YUEN LONG,AIDED,PRIMARY,24450101,24459247,http://www.homing.edu.hk,"CONFUCIANISM,BUDDHISM & TAOISM"
115339000123,Aided Primary Schools,HHCKLA BUDDHIST CHING KOK LIN ASSOCIATION SCHOOL,12 YAT MING ROAD FANLING NT,114.14205615,22.48719179,832685.0,838625.0,CO-ED,WHOLE DAY,NORTH,AIDED,PRIMARY,26754411,26754066,http://www.bcklas.edu.hk,BUDDHISM
511790000123,Aided Primary Schools,FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION SCHOOL,"70 WING HONG STREET, SHAMSHUIPO, KOWLOON",114.15457632,22.34101749,833971.0,822438.0,CO-ED,WHOLE DAY,SHAM SHUI PO,AIDED,PRIMARY,23071017,23700692,http://www.fdbwa.edu.hk,NOT APPLICABLE
511021000123,Aided Primary Schools,YAUMATI CATHOLIC PRIMARY SCHOOL,41 TUNG KUN STREET KOWLOON,114.16795508,22.31138942,835349.0,819157.0,CO-ED,WHOLE DAY,YAU TSIM MONG,AIDED,PRIMARY,27807311,27807313,http://www.ymtcps.edu.hk,CATHOLICISM
115630000123,Aided Primary Schools,HONG KONG AND MACAU LUTHERAN CHURCH PRIMARY SCHOOL,4 CHAP FUK ROAD TSEUNG KWAN O NEW TERRITORIES,114.26651891,22.31979041,845504.0,820090.0,CO-ED,WHOLE DAY,SAI KUNG,AIDED,PRIMARY,27019803,27040066,http://www.hkmlcps.edu.hk,PROTESTANTISM / CHRISTIANITY
114766000123,Aided Primary Schools,SHUN TAK FRATERNAL ASSOCIATION WU SIU KUI MEMORIAL PRIMARY SCHOOL,ESTATE PRIMARY SCHOOL NO 3 ON TING ESTATE TUEN MUN NEW TERRITORIES,113.97704971,22.38640959,815690.0,827478.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24503833,26183132,http://www.wsk.edu.hk,NOT APPLICABLE
511927000223,Aided Primary Schools,HEEP YUNN PRIMARY SCHOOL,1 FARM ROAD KOWLOON,114.18531869,22.32172044,837138.0,820301.0,GIRLS,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,27111263,27141958,http://www.hyps.edu.hk,PROTESTANTISM / CHRISTIANITY
512826000123,Aided Primary Schools,MARYKNOLL CONVENT SCHOOL (PRIMARY SECTION),130 WATERLOO ROAD KOWLOON & EXTENSION WING AT 130 WATERLOO ROAD KOWLOON,114.17906803,22.32757247,836494.0,820949.0,GIRLS,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,23360611,23363154,http://www.mcsps.edu.hk,CATHOLICISM
115363000123,Aided Primary Schools,TUNG WAH GROUP OF HOSPITALS WONG SEE SUM PRIMARY SCHOOL,CHEUNG ON ESTATE TSING YI NEW TERRITORIES,114.10185376,22.36164551,828541.0,824724.0,CO-ED,WHOLE DAY,KWAI TSING,AIDED,PRIMARY,24978784,24352947,http://www.twghwssp.edu.hk,NOT APPLICABLE
513466000123,Aided Primary Schools,S.K.H. KEI HIN PRIMARY SCHOOL,ON SHIN ROAD UPPER NGAU TAU KOK ESTATE KOWLOON,114.21731873,22.3180221,840435.0,819892.0,CO-ED,WHOLE DAY,KWUN TONG,AIDED,PRIMARY,27507771,27951274,http://www.skhkeihin.edu.hk,PROTESTANTISM / CHRISTIANITY
114898000123,Aided Primary Schools,SHUN TAK FRATERNAL ASSOCIATION HO YAT TUNG PRIMARY SCHOOL,ESTATE PRIMARY SCHOOL NO 5 YAU OI ESTATE AREA 15 TUEN MUN NEW TERRITORIES,113.97402515,22.38956649,815379.0,827828.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24586111,24581834,http://www.hytps.edu.hk,NOT APPLICABLE
530409000123,Aided Primary Schools,TIN SHUI WAI METHODIST PRIMARY SCHOOL,PHASE I AREA 31 TIN SHUI WAI NEW TERRITORIES,113.99828049,22.45966231,817886.0,835587.0,CO-ED,WHOLE DAY,YUEN LONG,AIDED,PRIMARY,24480373,24480877,http://www.tswmps.edu.hk,PROTESTANTISM / CHRISTIANITY
513768000223,Aided Primary Schools,SAU MAU PING CATHOLIC PRIMARY SCHOOL,"PO TAT ESTATE, KWUN TONG KOWLOON",114.23693412,22.31760964,842456.0,819847.0,CO-ED,WHOLE DAY,KWUN TONG,AIDED,PRIMARY,23484218,23496359,http://www.smpcps.edu.hk,CATHOLICISM
512770000123,Aided Primary Schools,MAN KIU ASSOCIATION PRIMARY SCHOOL,ESTATE SCHOOL NO 3 UPPER NGAU TAU KOK ESTATE KWUN TONG KOWLOON,114.21760073,22.31985524,840464.0,820095.0,CO-ED,WHOLE DAY,KWUN TONG,AIDED,PRIMARY,27570490,23313422,http://www.mkaps.edu.hk,NOT APPLICABLE
518433000123,Aided Primary Schools,LAM TIN METHODIST PRIMARY SCHOOL,ON TIN STREET PING TIN ESTATE LAM TIN KWUN TONG KOWLOON,114.23698786,22.30711606,842462.0,818685.0,CO-ED,WHOLE DAY,KWUN TONG,AIDED,PRIMARY,23461033,23496346,http://www.ltmps.edu.hk,PROTESTANTISM / CHRISTIANITY
114723000123,Aided Primary Schools,FREE METHODIST MEI LAM PRIMARY SCHOOL,"MEI SHING COURT, TAI WAI, SHATIN, NEW TERRITORIES",114.17408756,22.37965168,835981.0,826716.0,CO-ED,WHOLE DAY,SHA TIN,AIDED,PRIMARY,26052868,26022709,http://www.fmml.edu.hk,PROTESTANTISM / CHRISTIANITY
115738000123,Aided Primary Schools,CHIU YANG PRIMARY SCHOOL OF HONG KONG,TIN YIU ESTATE PHASE III TIN SHUI WAI YUEN LONG NEW TERRITORIES,114.00478037,22.45171358,818554.0,834706.0,CO-ED,WHOLE DAY,YUEN LONG,AIDED,PRIMARY,24463018,24486756,http://www.cyps.edu.hk,NOT APPLICABLE
512664000123,Aided Primary Schools,LING TO CATHOLIC PRIMARY SCHOOL,"ESTATE PRIMARY SCHOOL, CHUN MAN COURT, HOMANTIN, KOWLOON",114.17931532,22.31473187,836519.5,819527.1,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,27139233,27142640,http://www.lingto.edu.hk,CATHOLICISM
114839000123,Aided Primary Schools,YAN TAK CATHOLIC PRIMARY SCHOOL,ESTATE PRIMARY SCHOOL NO 2 PHASE II BUTTERFLY ESTATE TUEN MUN NEW TERRITORIES,113.96373262,22.37622427,814317.0,826352.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24636171,24663660,http://www.yantak.edu.hk,CATHOLICISM
115509000123,Aided Primary Schools,SHA TIN METHODIST PRIMARY SCHOOL,"KWONG YUEN ESTATE, SHATIN, NEW TERRITORIES",114.21463726,22.38018009,840157.0,826775.0,CO-ED,WHOLE DAY,SHA TIN,AIDED,PRIMARY,26366533,26494329,http://www.smps.edu.hk,PROTESTANTISM / CHRISTIANITY
115479000123,Aided Primary Schools,LOK SIN TONG LAU TAK PRIMARY SCHOOL,PO LAM ESTATE TSEUNG KWAN O SAI KUNG NT,114.25636553,22.3267339,844457.5,820858.3,CO-ED,WHOLE DAY,SAI KUNG,AIDED,PRIMARY,27013072,27016203,http://www.lautak.edu.hk,NOT APPLICABLE
115266000123,Aided Primary Schools,SHEK WU HUI PUBLIC SCHOOL,TIN PING ESTATE SHEUNG SHUI NT,114.13245938,22.50435621,831698.0,840526.0,CO-ED,WHOLE DAY,NORTH,AIDED,PRIMARY,26721225,26685507,http://www.swhps.edu.hk,NOT APPLICABLE
150770000223,Aided Primary Schools,S.K.H. ST. JOSEPH'S PRIMARY SCHOOL,12 PO TEI ROAD KAM TIN YUEN LONG NEW TERRITORIES,114.06715198,22.43875516,824973.0,833265.0,CO-ED,WHOLE DAY,YUEN LONG,AIDED,PRIMARY,24764962,24794699,http://www.skhsjs.edu.hk,PROTESTANTISM / CHRISTIANITY
115304000123,Aided Primary Schools,PO LEUNG KUK FONG WONG KAM CHUEN PRIMARY SCHOOL,LEUNG KING ESTATE TUEN MUN NTANNEX BUILDING ESTATE PRIMARY SCHOOL NO 3 LEUNG KING ESTATE AREA 1 TUEN MUN N T,113.96222923,22.40679945,814167.0,829738.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24661882,24532395,http://www.plkfwkc.edu.hk,NOT APPLICABLE
150436000123,Aided Primary Schools,MENG TAK CATHOLIC SCHOOL,11 CHEUNG MAN ROAD CHAI WAN HONG KONG,114.23618537,22.26834788,842381.0,814392.0,CO-ED,WHOLE DAY,EASTERN,AIDED,PRIMARY,25572244,25575324,http://mengtakps.edu.hk,CATHOLICISM
511722000123,Aided Primary Schools,DIOCESAN PREPARATORY SCHOOL,1 & 3 CHESTER ROAD KOWLOON TONG KOWLOON,114.17900011,22.32919798,836487.0,821129.0,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,23361448,23367854,http://www.dps.edu.hk,PROTESTANTISM / CHRISTIANITY
115223000123,Aided Primary Schools,YUEN LONG LONG PING ESTATE TUNG KOON PRIMARY SCHOOL,ESTATE PRIMARY SCHOOL 1 LONG PING ESTATE YUEN LONG NEW TERRITORIES,114.02359863,22.45165127,820491.0,834697.0,CO-ED,WHOLE DAY,YUEN LONG,AIDED,PRIMARY,24762433,24747225,http://www.tkps.edu.hk,NOT APPLICABLE
