,Document_No,number,created_at,text,source,user is verified,user has url,user description,user created at,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,user location,binary_class,ternary_class,sentiment
23,23,16,8/7/2022 02:57,"@FreedmFightr1 Be worried about the July 18 WHO meeting, fascist Tedros is trying to make moneypox a international health ""emergency""",Twitter for iPhone,FALSE,FALSE,"No Lockdowns, No Border Closures, No mandates. Anti Leftist, Despise Health Bureaucrats.",27/11/2021 07:25,0,1,7,0,159,209,2487,0,Not anywhere I want to be.,1,1,neutral
24,24,17,8/7/2022 03:26,#MonkeyPox = #MoneyPox!  Sponsored By: @CDCgov⁩ ⁦@CDCDirector⁩ ⁦@CDC_eHealth⁩ ⁦@WHO⁩ Brought To You By: ⁦@FoxNews⁩ ⁦@MSNBC⁩ ⁦@CNN ⁦@ABC⁩ ⁦@CBSNews⁩ ⁦@NBCNews⁩ #FakeNews ⁦ _URL_,Twitter Web App,FALSE,TRUE,Owner:The Health & Fitness Center *Nutrition Lifestyle Pro* #BrainHealth #Omega3 #DiseasePrevention #Biomechanic #Alzheimers #PatriotCitizen #ATBMPScience,25/12/2015 19:03,1,0,1,0,14302,13432,48025,142,Global USA :United_States: AUSTRALIA :Australia:,1,1,neutral
25,25,20,8/7/2022 11:28,First you got Bill Gates eluding a smallpox terror attack late last year. Then a few months afterward we get this monkeypox break. Then the Washington Post now publishes an opinion piece suggesting we should start calling moneypox a pandemic.. Folks? We are being duped,Twitter for Android,FALSE,TRUE,"Software Engineer & Web Developer, expressive on his views on various topics, Christian, full bio: _URL_",21/2/2012 15:01,0,0,2,1,2179,1732,11543,0,"Blantyre, Malawi",1,1,negative
26,26,22,8/7/2022 14:23,Could Moneypox be the next Plandemic _URL_,Twitter Web App,FALSE,FALSE,"Retired and tired of the BS. Conservative, 2A and free speech supporter #USARMY #Veteran #PUREBLOOD #DONOTCOMPLY #UltraMAGA #TrojanWarriors :prohibited:Bitcoin",26/5/2022 21:17,1,3,4,1,4354,4716,1115,0,"Wisconsin, USA",1,1,neutral
27,27,24,8/7/2022 15:04,MONEYPOX there! fixed it for you So sick of these money laundering scams! _URL_,Twitter Web App,FALSE,FALSE,"Family! country! gardener, writer, artist, investor. (my pic) Neither Dem nor Rep. FRÉDÉRIC BASTIAT You want to inject what into my body? oledi45 going to GETTR",14/12/2008 19:39,0,0,0,0,514,109,108906,18,U.S.,1,1,negative
28,28,27,8/7/2022 19:54,@Cernovich I honestly hope they continue to push shutdowns for things like moneypox because the more they do the more people will wake up and see what lockdowns are truly all about.,Twitter for Android,FALSE,FALSE,None,16/2/2022 06:19,0,0,0,0,0,72,332,0,None,1,1,positive
29,29,30,8/7/2022 22:17,"@AlvaroRivera86 @onemoredegen @nypost MoneyPox LIKE HIV is only communicated through blood exchange. Intestines are very ""secretious and ""absorbing"", hence why it is spread much more easily with this form of sex... It will happen if you do this with an infected female as well. It is NOT about preference.",Twitter Web App,FALSE,FALSE,"do NOT DM me... I do not respond, unless we have been friends for some time!!!!!!!!!!",5/2/2022 23:47,0,1,0,0,360,543,5961,0,"Florida mostly, but MN often",1,1,positive
30,30,53,9/7/2022 00:02,@bbygrlpt2 @GovKathyHochul Everything your heart desires they stewing up some monkey pox too got to have that mail in ballots come November _URL_,Twitter for Android,FALSE,FALSE,Commies Marxists Socialists all types DISGUST ME the fake ones CHAMPAGNE SOCIALISTS CELEBRITIES SHOULD ENTERTAIN NOT CAMPAIGN I FART ON JACK DORCEY's BEARD!!!,20/3/2017 11:39,0,1,0,0,339,308,25020,1,None,1,1,negative
31,31,64,9/7/2022 00:04,"#AMC oh ya, Monkey Pox is in the media again!  Smoke and Mirrors! #AMCNOTLEAVING  #FIREGARYGENSLER",Twitter Web App,FALSE,FALSE,"#amc #gme #hymc sharing a little dd with a touch of add. To the moon baby!   Expensive Brands, Discount Prices",7/6/2009 15:15,0,1,11,0,1184,1514,3621,1,"Over 9,500 Designer Brands",1,1,negative
32,32,81,9/7/2022 00:09,"@SylvesterTurner Fear Mongering, Fake News. Also, read the reports on Monkeypox, you only get it if your gay and having butthole sex.",Twitter for iPhone,FALSE,TRUE,"Casey Littlejohn, Republican Candidate for Texas State Representative, District 109. Facebook: Littlejohn for TEXAS.",27/7/2017 02:25,1,0,4,0,50,62,154,1,"Dallas, TX",1,1,negative
33,33,86,9/7/2022 00:10,"And there we are. Because covid isn't scary enough anymore and monkeypox didn't get the fear factor they desired, we now have an ebola like virus. But don't worry, there's bound to be a vaccine for it. _URL_",Twitter Web App,FALSE,FALSE,"Busy mum, always time for a smile, no time for ignorance. Do something fun and don't believe everything you are told :smiling_face_with_smiling_eyes: freedom of choice not anti vax.",3/8/2019 14:56,0,0,1,0,121,133,4144,3,West Sussex,1,1,negative
34,34,88,9/7/2022 00:11,PSA on *deep sigh* #Monkeypox for San Francisco residents. You're probably safe but maybe turn on the lights before you hook up with a stranger. _URL_,Twitter for iPhone,FALSE,FALSE,"Credit, equities, crequities. TMT, HC, generalist deathtraps. Skeletor dot capital at gmail. #tongs, Liberty, #quintplay. No active positions discussed.",25/7/2011 18:26,0,1,2,0,16457,1318,74229,424,"San Francisco, CA",1,1,positive
35,35,91,9/7/2022 00:11,This is why the government won't do anything about monkeypox until it spreads to the general population because they don't want to point out it originated from gay men. #Tucker,Twitter Web App,FALSE,FALSE,"Phillies fan, baseball fan, accountant, and wantrepreneur. Also tweet about Shark Tank, The Profit, sports, business, politics, and other stuff.",13/4/2014 03:36,0,0,2,0,352,301,43233,19,"Norristown, PA",1,1,positive
36,36,95,9/7/2022 00:12,@FoxNews I will never get monkeypox I don't do immoral things,Twitter Web App,FALSE,FALSE,For open and honest truths about things find me on _URL_ at @freedommikeg1776 Truth Social where you can speak freely without getting ban,3/5/2016 07:48,0,0,0,0,176,389,7581,2,"California, USA",1,1,neutral
37,37,121,9/7/2022 00:17,"I'm legit worried about getting monkeypox, they just confirmed a case in my county. Yay for orgy tomorrow I guess??",Twitter for iPhone,FALSE,TRUE,the Jenna Marbles of Gay Pornogrpahy,17/4/2013 21:04,0,0,0,0,968,292,16018,2,"Palm Springs, CA",1,1,positive
38,38,125,9/7/2022 00:19,"This is brilliant. Monkey Pox is basically an STD, yet it is spreading like wildfire. Mitigation is simple: keep your legs crossed and don't stick your dick where it doesn't belong! _URL_",Twitterrific for iOS,FALSE,TRUE,scientist; historian; prokoptôn,4/1/2007 22:34,0,0,0,0,338,186,8492,16,"Garland, TX",1,1,positive
39,39,136,9/7/2022 00:20,Was The Monkey Pox Created In Wuhan CHI-NA _URL_,Twitter for iPhone,FALSE,FALSE,"Wife, Mother, Grandmother, Polaris RZR Off Road, Mountain Life:mountain:, Lake Life:speedboat:. Fishing Life:fishing_pole: God is King:red_heart:Donald Trump is my President. #FJB :tangerine::tangerine::tangerine::tangerine:",1/2/2022 14:41,0,1,1,0,471,604,9700,0,None,1,1,negative
40,40,137,9/7/2022 00:20,"The same #Wuhan Lab, home of #COVID19, is NOW working on #MonkeyPox! ~ @TuckerCarlson",Twitter for iPhone,FALSE,FALSE,"Concerned American :United_States: Gay Conservative & I Know What A Woman Is, I Also Know NO ONE Should Do Any Gender Reassignment Until An Adult, Lawyer, :red_heart::United_States:, :prohibited:DM's!",27/5/2022 05:46,0,0,0,0,276,649,1903,0,"Cave Creek, AZ",1,1,neutral
41,41,139,9/7/2022 00:20,Wuhan lab is currently working on different forms of Monkey Pox. -Tucker Carlson,Twitter for iPhone,FALSE,FALSE,AMERICA FIRST :United_States:,9/4/2009 11:44,99,16,366,5,59089,2304,54645,96,United States,1,1,negative
42,42,140,9/7/2022 00:20,#Tucker  Want to stop monkeypox?  Stop having anal sex.,Twitter Web App,FALSE,TRUE,Retired.  Southern.  Conservative.  Cancer Survivor.  Violent Crime Survivor. President Trump Supporter. :heart_suit::United_States: God Bless America :United_States::heart_suit:,11/9/2019 19:35,2,1,6,0,3109,3263,858,0,"Florida, USA",1,1,neutral
43,43,141,9/7/2022 00:20,Guess what the Wuhan lab is working on monkeypox derivatives _URL_,Twitter for iPhone,FALSE,FALSE,"There is always room for 2, Conservative, pro life, US Army veteran, pro America first, displaced southern boy in the northern state missing Florida!",12/12/2021 17:37,0,1,1,0,2790,4965,2077,4,"Massachusetts, USA",1,1,neutral
44,44,147,9/7/2022 00:22,"@TuckerCarlson I understand that many baby boomers have immunity to monkey pox so maybe the Wuhan lab is trying to make it able to overcome our immunity? The Dems need a crisis for the November elections, after all!!",Twitter for iPhone,FALSE,TRUE,Foundation Ministries finds its purpose in helping Pastors and the local church by equipping Christians to take their place in the Body of Christ and society.,18/3/2012 23:34,0,0,0,0,28,77,309,1,"Oneida, NY",1,1,positive
45,45,149,9/7/2022 00:22,Wuhan lab engineering monkey pox now,Twitter for Android,FALSE,FALSE,#maga Trump,19/7/2020 05:24,1,0,1,0,182,802,889,0,"Modesto, CA",1,1,negative
46,46,154,9/7/2022 00:23,Wuhan Lab now working on monkey pox. We all gonna die.,Twitter for iPhone,FALSE,TRUE,Game On.,5/10/2011 02:12,0,0,1,0,214,49,21312,0,"Maryland, USA",1,1,negative
47,47,163,9/7/2022 00:24,Hey people do you remember the truck load of monkey that turned over and monkeys escaped on a freeway. The media said not to handle them that they could be dangerous. Think this had anything to do with the monkey pox ?,Twitter for Android,FALSE,FALSE,Retired .On social security. Trying to survive.,13/11/2021 22:19,0,0,0,0,0,6,98,0,None,1,1,negative
48,48,164,9/7/2022 00:24,"#China's:China: #Wuhan Lab (Level Four Lab) is now working on the #Monkeypox virus !! We should all be alarmed:police_car_light: ! For detailed info, watch ⁦@TuckerCarlson⁩ Fri, 7/8/22 episode :television::eyes: ! _URL_",Twitter for iPhone,FALSE,FALSE,#Christian :latin_cross: #ProLife :United_States: #AmericaFirst :United_States: #MAGA :United_States: Gab: Neesie@Neesiegabs :United_States: TruthSocial: Neesie@Neesie :United_States:,21/4/2009 13:41,3,1,6,0,27009,28334,301963,29,America:United_States:,1,1,positive
49,49,170,9/7/2022 00:27,"Wuhan Virology in China at this time is working with ""MONKEY POX!!!"" GO FIGURE!?!?!",Twitter for Android,FALSE,FALSE,"#MAGA,:U.S._Outlying_Islands:#TRUMP WON:United_States::footprints:#PRO-LIFE:footprints:",23/3/2012 05:17,0,1,3,0,3173,4910,18004,2,United States,1,1,negative
50,50,174,9/7/2022 00:28,Reported monkeypox cases have increased by 53.3% over the past week. Remember this is even with limited testing and most countries only testing lgbt people. Which is just ridiculous Monkeypox doesn't just spread by physical contact. It spreads by droplets and can spread aerosols.,Twitter for Android,FALSE,FALSE,welcome to the most reliable news site. stay tuned. But dont because I really have no idea why i even have a Twitter account. I'll most likely get banned here.,25/8/2018 01:50,2,0,4,0,394,506,10144,1,Canada,1,1,negative
51,51,186,9/7/2022 00:30,not to like stigmatize but gay men who are frequenting sex parties and bathhouses while monkeypox is going around because they're deeply addicted sex should really be put in some kind of inpatient rehab facility,Twitter for iPhone,FALSE,TRUE,i can't spell. influencer for @bostonmarket. views are my own.,7/7/2009 02:59,0,7,19,0,3978,986,60073,12,my own personal hell,1,1,positive
52,52,187,9/7/2022 00:30,"Here we go again ! THE W.H.O. IS COMPLICIT IN CREATING AND FOSTERING A PANDEMIC.. INSTEAD OF WUHAN COMMUNIST CHINESE COVID, IT'S FROM SOME DUDE IN AFRICA WHO COHABITS WITH MONKEYS ! WHO committee to reconvene over monkeypox outbreak _URL_",Twitter for Android,FALSE,FALSE,Veteran United States Coast Guard; Electrical Engineering; Consumer Electronics Support; Computer Science; RCA Mgr; Microsoft Technician; Texas Rancher,6/5/2016 05:09,0,0,0,0,336,580,10430,0,"Texas, USA",1,1,neutral
53,53,188,9/7/2022 00:30,STFU THERE ISNT NO SUCH THING AS MONKEY POX….ITS CALLED YOUR TRYING TO LOCK PEOPLE DOWN AGAIN. ITS NOT AND I REPEAT NOT GOING TO WORK _URL_,Twitter for iPad,FALSE,FALSE,"100% REPUBLICAN AND LOVE AMERICAS GREATEST PRESIDENT EVER DONALD TRUMP :United_States:SUPPORT OUR CONSTITUTION,LOVE OUR COUNTRY. KEEP AMERICAN BORDERS CLOSED. :prohibited:DM",16/8/2017 12:46,0,1,1,0,1195,1300,8415,0,Thebes Illinois,1,1,negative
54,54,189,9/7/2022 00:30,@POTUS Why don't you adhere to the asks of the @WHO and investigate whether coronavirus was made in a laboratory in wuhan? Why don't you stop the monkey pox research currently going on in the same lab?,Twitter for iPhone,FALSE,FALSE,Mostly just incoherent thoughts,19/8/2019 15:44,1,0,1,0,12,143,615,1,"New York, NY",1,1,negative
55,55,191,9/7/2022 00:30,"REVEALED: Fauci's Recent, $10M Monkeypox Grant. Gosh, what a surprise. _URL_",Twitter for iPhone,FALSE,FALSE,"Retired Family Service Exec.Director, psychotherapist, author (pub. below), marketing mgr., 1969 GS-13 NIMH rating, Who's Who Worldwide, Explorer,age85.",10/3/2021 19:44,0,2,1,0,1152,4998,2493,7,"Allentown, PA",1,1,neutral
56,56,204,9/7/2022 00:32,"MORE PROOF OF WHAT I SAID IS NOW COMING OUT IN REVEALED EMAILS AND PEOPLE BEING MORE TRUTHFUL ABOUT IT'S ORIGIN! IT IS NOW NOT ONLY THE BAT LADY SHARING THE TRUTH!!! MONKEYPOX IS ALSO BEING ENGINEERED FROM SAME WUHAN LABORATORY!!! ALSO, CHINA IS TRYING TO CONCOCT A VIRUS THAT",Twitter Web App,FALSE,FALSE,JULY 4 1946,19/8/2018 19:24,1,1,1,0,1348,4997,128430,1,None,1,1,positive
57,57,205,9/7/2022 00:33,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::clown_face::clown_face::clown_face: Just give it up!! I thought we were focusing on monkeypox as this month's scare tactic _URL_,Twitter for iPhone,FALSE,TRUE,"Host of the ""Mike Safo"" podcast... Yankees, Kentucky, and Knicks fanatic! World Traveler, Obsessive Reader, Married to the coolest girl in the game @jewel__lia",15/2/2009 01:05,0,0,3,0,2020,762,27206,28,"New York, NY",1,1,neutral
58,58,209,9/7/2022 00:33,"The lab in Wuhan China was the epicenter for covid 19, PERIOD. In this same Wuhan lab the Chinese are experimenting/developing a monkey pox virus. What could possibly go wrong? Covid 19 changed the dynamics of the world forever. If monkey pox gets out, you ain't seen nothing yet.",Twitter for Android,FALSE,FALSE,"Everything Woke Turns to Shit. (Trump) Patriot :U.S._Outlying_Islands: #Trump2024 :U.S._Outlying_Islands: #MAGA :U.S._Outlying_Islands:. 1A, 2A. :U.S._Outlying_Islands: NO Jab :United_States: Pure Blood :U.S._Outlying_Islands: Pronouns: Fuck/You. IFBAP /NO DM's.!!",25/9/2020 05:31,1,1,4,0,2942,2966,5238,0,"Orange County, California",1,1,negative
59,59,212,9/7/2022 00:33,"If monkeypox can't be contained, it may become a permanent threat, especially among men who have sex with men. ""The fear is that this will become entrenched as an S.T.I.,"" Dr. Varma said. _URL_ _URL_",Twitter for iPhone,TRUE,TRUE,"I write about religion for @NYTMetro. Once in Cairo, now in NYC. Khawaga-at-large. @OPCofAmerica board. Mural above by @Ganzeer. liam.stack@nytimes.com",17/4/2010 01:13,2,0,4,1,53113,8906,171429,1410,"New York, NY",1,1,neutral
60,60,218,9/7/2022 00:34,@MiaFarrow @nytimes To combat Monkeypox takes self control. How's it spread? What's it take to stop it? It ain't like covid! It has become the latest STD. Treat it as such!,Twitter for Android,FALSE,FALSE,"Patriot,Vet,tongue in cheek humor,play with words,indie voter,love nature,hate fakers.too young to be this old.If the truth hurts:middle_finger:U equal opportunity asshole!",13/1/2021 21:28,0,0,1,0,151,137,7754,0,None,1,1,positive
61,61,222,9/7/2022 00:36,"@KevinLunseth They're making food the number one priority behind the monkey pox BS  People in Europe just figured out something we already knew in America mRNA ""Vax"" directly alters the DNA of the test subject  They're separating the dummies from the crowd  After PfizerAdmittedAllAnim's:skull:",Twitter Web App,FALSE,FALSE,Love BIOSPHERE EARTH = B kind 2 Dirt protect your neighbors next door or around the world whether you like them or not  Love is a true power of the universe,24/9/2021 18:11,0,0,1,0,883,2996,31742,17,None,1,1,negative
62,62,225,9/7/2022 00:36,"They're making food the number one priority behind the monkey pox BS  People in Europe just figured out something we already knew in America mRNA ""Vax"" directly alters the DNA of the test subject  They're separating the dummies from the crowd  After PfizerAdmittedAllAnim's:skull: _URL_",Twitter Web App,FALSE,FALSE,Love BIOSPHERE EARTH = B kind 2 Dirt protect your neighbors next door or around the world whether you like them or not  Love is a true power of the universe,24/9/2021 18:11,1,0,1,0,883,2996,31742,17,None,1,1,negative
63,63,235,9/7/2022 00:38,"@LeonardiBot @flyfishcedarci1 @fitterhappierAJ I know I've seen pics of men lined up at these clinics in NYC waiting for tests.  Monkeypox is airborne, it is not an STI :woman_facepalming_light_skin_tone:",Twitter for iPad,FALSE,FALSE,"Socially Distant Jungle/DnB DJ, Sapiosexual #BLM #AlwaysWasAlwaysWillBe #LoveIsLove :transgender_flag: :rainbow_flag: Only the meek get pinched, the bold survive. FTP.",26/1/2021 06:24,0,0,4,0,1391,2072,36680,8,None,1,1,neutral
64,64,236,9/7/2022 00:38,Guess where monkey pox came from. The same lab in Wuhan. @adamcarolla @RubinReport @drdavemartin @Timcast @TimJDillon @GOP @DineshDSouza @DennisPrager @RealCandaceO @benshapiro @glennbeck @scrowder @SteveDeaceShow @jimmy_dore _URL_,Twitter for iPhone,FALSE,FALSE,Human from earth,9/12/2021 01:42,0,0,0,0,30,245,621,0,None,1,1,negative
65,65,237,9/7/2022 00:39,"@tlloydjones the monkeypox virus comes from the laboratories of the CNBv (biotechnology center, Spain) in Madrid, covid-19 is mixed with monkeypox, there is no vaccine because it is monkey pox and not human smallpox, see here: _URL_",Twitter Web App,FALSE,FALSE,333,3/7/2022 10:56,0,0,0,0,4,31,106,0,None,1,1,negative
66,66,238,9/7/2022 00:39,#WHO is about to fuck up another #globalpandemic. Buckle up. #Monkeypox #MonkeypoxIsAirborne _URL_,Twitter for iPad,FALSE,FALSE,"Socially Distant Jungle/DnB DJ, Sapiosexual #BLM #AlwaysWasAlwaysWillBe #LoveIsLove :transgender_flag: :rainbow_flag: Only the meek get pinched, the bold survive. FTP.",26/1/2021 06:24,0,0,3,0,1391,2072,36680,8,None,1,1,negative
67,67,241,9/7/2022 00:39,"@Monkeypoxtally the monkeypox virus comes from the laboratories of the CNBv (biotechnology center, Spain) in Madrid, covid-19 is mixed with monkeypox, there is no vaccine because it is monkey pox and not human smallpox, see here: _URL_",Twitter Web App,FALSE,FALSE,333,3/7/2022 10:56,0,0,0,0,4,31,106,0,None,1,1,negative
68,68,244,9/7/2022 00:40,"@james_hunnn the monkeypox virus comes from the laboratories of the CNBv (biotechnology center, Spain) in Madrid, covid-19 is mixed with monkeypox, there is no vaccine because it is monkey pox and not human smallpox, see here: _URL_",Twitter Web App,FALSE,FALSE,333,3/7/2022 10:56,0,0,0,0,4,31,106,0,None,1,1,negative
69,69,246,9/7/2022 00:40,"@Arwenstar Haven't had a Pandemic for 100yrs but now 2 or 3 predicted incoming till 2030, monkey pox, marberg etc seems a threat every month but big pharma &amp; WHO are ready to control n make money in process",Twitter for Android,FALSE,FALSE,None,18/1/2018 01:31,0,0,0,0,19,74,526,0,None,1,1,positive
70,70,247,9/7/2022 00:40,"@Antonio_Caramia @tigresseleanor @tancredipalmeri @ferrazza @elisaperego78 @DRTomlinsonEP @NjbBari3 @YouAreLobbyLud @EnemyInAState @mildanalyst @lisa_iannattone the monkeypox virus comes from the laboratories of the CNBv (biotechnology center, Spain) in Madrid, covid-19 is mixed with monkeypox, there is no vaccine because it is monkey pox and not human smallpox, see here: _URL_",Twitter Web App,FALSE,FALSE,333,3/7/2022 10:56,0,0,0,0,4,31,106,0,None,1,1,negative
71,71,252,9/7/2022 00:41,"@PierrePoilievre The largest STD Fest in Canada, this year, featuring Monkey Pox",Twitter for Android,FALSE,FALSE,West Coast - Best Coast Voting CONservative has CONsequences,6/12/2013 20:29,0,0,29,0,4606,4994,152995,5,Ready for a career move to BC?,1,1,negative
72,72,264,9/7/2022 00:44,"Ohhhh, shingles = monkey pox _URL_",Twitter for iPhone,FALSE,TRUE,"Second Class Canadian Citizen :Canada: Lover of freedom, aiming to bring light to these dark times through truth and unwavering morality. Father & Husband",31/7/2017 20:06,0,0,0,0,269,772,2305,0,Canada,1,1,negative
